ID,title,description,realeaseDate,budget,boxOffice,duration,filmStatus_code,genre_ID,director_ID
d0738d33-3f0d-4cc1-bf16-2aca217ac4ca,Inception,Action-packed sci-fi thriller,2010-07-16,160000000,836800000,148,R,bca992db-3a79-4d11-8ffe-ab9a9f9d8e74,1581ec84-8937-4a4e-b8fe-4065fd9e21b4
e1d8786b-dafb-4839-a211-5ad034989bad,Titanic,A romantic drama set on the ill-fated RMS Titanic,1997-12-19,200000000,2187000000,195,S,1dd143a0-7f85-4ce5-9a4f-84d09ecfa829,ee2f35bb-31d3-4848-bdda-7d37e506f75c
a8f52759-4ec5-4b10-bf24-8a2ef2bbe882,The Hangover,Hilarious adventure comedy,2009-06-05,35000000,467400000,100,C,593cbf5a-2211-4381-a30c-ee9eeb066ccb,62dd36db-0481-4ae7-8c19-3440c310f62c
5b70950c-0558-4c9b-8030-d48c4a6a0549,Se7en,Dark and gripping crime thriller,1995-09-22,33000000,327300000,127,R,fcb0ca14-6040-43e5-8e65-e83f99ec5d1a,e1f18625-0270-4038-afe5-91247c5f91ed
b4e7a2c0-9f4b-4f3f-b8b5-1f2a3e4c5d6f,Eternal Odyssey,A breathtaking journey through space and time,2012-05-04,120000000,500000000,142,R,bca992db-3a79-4d11-8ffe-ab9a9f9d8e74,1581ec84-8937-4a4e-b8fe-4065fd9e21b4
a7c2d3e4-f8b9-4c1d-9e2f-3a4b5c6d7e8f,Shadow Realm,A dark fantasy adventure in a mystical world,2015-10-31,80000000,320000000,130,R,1dd143a0-7f85-4ce5-9a4f-84d09ecfa829,ee2f35bb-31d3-4848-bdda-7d37e506f75c
c3d4e5f6-7a8b-4c9d-0e1f-2a3b4c5d6e7f,Lost City,Explorers uncover secrets of an ancient civilization,2018-07-20,95000000,410000000,125,S,593cbf5a-2211-4381-a30c-ee9eeb066ccb,62dd36db-0481-4ae7-8c19-3440c310f62c
f5e4d3c2-b1a9-8f7e-6d5c-4b3a2e1f0d9b,Quantum Heist,A team of thieves pull off a mind-bending robbery,2020-02-14,110000000,350000000,115,C,fcb0ca14-6040-43e5-8e65-e83f99ec5d1a,e1f18625-0270-4038-afe5-91247c5f91ed
b1a2c3d4-e5f6-7a8b-9c0d-1e2f3a4b5c6d,Crimson Tide,Naval officers face perilous challenges during wartime,2003-11-07,130000000,400000000,149,R,fcb0ca14-6040-43e5-8e65-e83f99ec5d1a,e1f18625-0270-4038-afe5-91247c5f91ed
a1b2c3d4-e5f6-7a8b-9c0d-1e2f3a4b5c6d,Midnight Echoes,A haunting tale of lost souls in a cursed town,2011-10-13,30000000,120000000,105,R,bca992db-3a79-4d11-8ffe-ab9a9f9d8e74,1581ec84-8937-4a4e-b8fe-4065fd9e21b4
d7e8f9a0-b1c2-3d4e-5f6a-7b8c9d0e1f2a,Rising Phoenix,An inspiring story of rebirth and redemption,2016-08-19,50000000,220000000,110,S,1dd143a0-7f85-4ce5-9a4f-84d09ecfa829,ee2f35bb-31d3-4848-bdda-7d37e506f75c
f7e8d9c0-b1a2-3c4d-5e6f-7a8b9c0d1e2f,Frozen Legacy,A chilling saga set in an unforgiving arctic landscape,2013-12-20,70000000,250000000,132,C,fcb0ca14-6040-43e5-8e65-e83f99ec5d1a,e1f18625-0270-4038-afe5-91247c5f91ed
a1b2c3d4-e5f6-7a8b-9c0d-1e2f3a4b5c6e,Cybernetic Dawn,A futuristic battle between man and machine,2019-03-22,180000000,600000000,138,R,593cbf5a-2211-4381-a30c-ee9eeb066ccb,62dd36db-0481-4ae7-8c19-3440c310f62c
e2f3a4b5-c6d7-8a9b-0c1d-2e3f4a5b6c7d,Solaris Rising,A solar-powered revolution sparks change,2014-06-11,90000000,310000000,124,C,bca992db-3a79-4d11-8ffe-ab9a9f9d8e74,1581ec84-8937-4a4e-b8fe-4065fd9e21b4
c4d3e2f1-a2b3-c4d5-e6f7-8901a2b3c4d5,Mirage,A mind-bending illusion challenges reality,2017-09-09,40000000,150000000,112,S,1dd143a0-7f85-4ce5-9a4f-84d09ecfa829,ee2f35bb-31d3-4848-bdda-7d37e506f75c
b3a2c1d0-e9f8-7d6c-5b4a-3c2d1e0f9a8b,Inferno,A catastrophic blaze threatens an entire city,2008-07-04,100000000,380000000,128,R,bca992db-3a79-4d11-8ffe-ab9a9f9d8e74,1581ec84-8937-4a4e-b8fe-4065fd9e21b4
f9e8d7c6-b5a4-3c2d-1e0f-9a8b7c6d5e4f,Nebula Nights,A stellar journey across distant galaxies,2021-11-05,150000000,550000000,136,S,fcb0ca14-6040-43e5-8e65-e83f99ec5d1a,e1f18625-0270-4038-afe5-91247c5f91ed
d6c5b4a3-2910-8f7e-6d5c-4b3a2e1f0d9c,The Last Frontier,Explorers venture into the unknown wilderness,2005-04-15,60000000,220000000,117,S,593cbf5a-2211-4381-a30c-ee9eeb066ccb,62dd36db-0481-4ae7-8c19-3440c310f62c
e4f3d2c1-b0a9-8f7e-6d5c-4b3a2e1f0d9e,Phantom Echo,A suspenseful mystery shrouded in ghostly legends,2010-01-22,45000000,180000000,108,R,593cbf5a-2211-4381-a30c-ee9eeb066ccb,62dd36db-0481-4ae7-8c19-3440c310f62c
a9b8c7d6-e5f4-3d2c-1b0a-9e8f7d6c5b4a,Galactic Conquest,An interstellar war erupts between rival empires,2013-08-08,200000000,800000000,155,R,fcb0ca14-6040-43e5-8e65-e83f99ec5d1a,e1f18625-0270-4038-afe5-91247c5f91ed
b8a7c6d5-e4f3-2d1c-0b9a-8f7e6d5c4b3f,Mystic River,A suspenseful drama unraveling family secrets,2001-03-16,30000000,100000000,119,S,bca992db-3a79-4d11-8ffe-ab9a9f9d8e74,1581ec84-8937-4a4e-b8fe-4065fd9e21b4
